layer,within_similarity,between_similarity,separation_score,silhouette_score,pca_pc1_variance,pca_pc2_variance,pca_2d_total_variance
0,1.0000000951265968,1.0000000951265968,0.0,0.0,0.0,0.0,0.0
4,0.9466228517825152,0.8621576323420198,0.08446521944049534,0.47764694690704346,0.3705051,0.23607345,0.606578528881073
8,0.8836923493545888,0.7639617658545502,0.11973058350003862,0.4194786250591278,0.38253173,0.1769244,0.5594561100006104
12,0.8725745974919307,0.7533358206626753,0.11923877682925532,0.4202004373073578,0.3132804,0.19280693,0.5060873031616211
16,0.8476538501938302,0.71097447690029,0.13667937329354019,0.4017132520675659,0.29550064,0.19218422,0.48768484592437744
20,0.8850325749243851,0.7579776746939837,0.12705490023040145,0.4293127954006195,0.30700395,0.2012274,0.5082313418388367
24,0.9143527393548306,0.8292562458107599,0.08509649354407078,0.35767123103141785,0.33246943,0.17957462,0.5120440721511841
28,0.9387327258065669,0.8792053395594615,0.05952738624710541,0.359767347574234,0.36567223,0.1745673,0.5402395129203796
