model,layer,normalized_depth,beta,mean_target_assignment_rate,mean_target_minus_source_similarity,mean_relative_perturbation_norm,pairs_assignment_ge_0_5,pairs_assignment_eq_1,mean_ivs,mean_rsm_pearson,median_assignment,min_assignment,max_assignment,median_ivs,max_ivs,efficiency,validity_score
Qwen/Qwen3-1.7B,4,0.14285714285714285,0.25,0.1111111111111111,-0.021602726509673043,0.07122914027422667,0,0,5.8961963577630616e-05,0.9999410380364225,0.08333333333333333,0.0,0.3333333333333333,2.6490863478834115e-05,0.00018971422424618467,1.5599106641500287,0.1039292351201108
Qwen/Qwen3-1.7B,4,0.14285714285714285,0.5,0.4305555555555556,-6.435984545917021e-05,0.14245828054845333,8,0,0.00022943794441448082,0.9997705620555856,0.5,0.16666666666666666,0.6666666666666666,0.00010957575705849987,0.0006942407234391546,3.0223271239458946,0.4160802895562958
Qwen/Qwen3-1.7B,4,0.14285714285714285,0.75,0.638888888888889,0.021477847943562223,0.21368742485841116,11,2,0.0004959996907271854,0.9995040003092729,0.5833333333333333,0.16666666666666666,1.0,0.00025114617856175636,0.0013989260167627249,2.98982899631986,0.6170241467123206
Qwen/Qwen3-1.7B,4,0.14285714285714285,1.0,0.9166666666666666,0.042703189414332536,0.28491656109690666,12,8,0.0008375349990188871,0.9991624650009809,1.0,0.6666666666666666,1.0,0.0004478726683833645,0.002182313991077267,3.2173160835734165,0.8873374755579572
Qwen/Qwen3-1.7B,4,0.14285714285714285,1.25,0.9861111111111112,0.06331218382939074,0.3561456923683484,12,11,0.001230306731285306,0.9987696932687147,1.0,0.8333333333333334,1.0,0.0006915161794409097,0.0029359193101741177,2.7688418098366174,0.949266235142991
Qwen/Qwen3-1.7B,4,0.14285714285714285,1.5,1.0,0.0830452440639497,0.4273748497168223,12,12,0.0016509595681345652,0.9983490404318655,1.0,1.0,1.0,0.0009702936339107682,0.004157814935612625,2.3398662257826723,0.9556115554601832
Qwen/Qwen3-1.7B,8,0.2857142857142857,0.25,0.041666666666666664,-0.045571175071585535,0.10282927130659421,0,0,0.00020564957460016595,0.9997943504253998,0.0,0.0,0.16666666666666666,0.00012614936739319127,0.0006743212927559084,0.4052023522602864,0.031178089961407075
Qwen/Qwen3-1.7B,8,0.2857142857142857,0.5,0.47222222222222227,0.00022526887406284132,0.20565854261318842,8,0,0.0008382360266858957,0.999161763973314,0.5,0.3333333333333333,0.6666666666666666,0.0005501251547318509,0.0026586768623496626,2.2961467744567785,0.4508181319342175
Qwen/Qwen3-1.7B,8,0.2857142857142857,0.75,0.9861111111111112,0.046022893789201554,0.30848781143625575,12,11,0.0018809969720541924,0.9981190030279458,1.0,0.8333333333333334,1.0,0.0013080036544944607,0.005770453264162589,3.1965965674754386,0.9533813329954314
Qwen/Qwen3-1.7B,8,0.2857142857142857,1.0,1.0,0.09038486600853352,0.41131708522637683,12,12,0.0032599738722976037,0.9967400261277025,1.0,1.0,1.0,0.0023546672181685158,0.00970188829685037,2.431214290885793,0.9556083176050647
Qwen/Qwen3-1.7B,8,0.2857142857142857,1.25,1.0,0.13207069574454167,0.5141463478406271,12,12,0.004853195333590567,0.9951468046664095,1.0,1.0,1.0,0.0035334737866589694,0.014093042034416858,1.9449714750483085,0.9437321698823468
Qwen/Qwen3-1.7B,8,0.2857142857142857,1.5,1.0,0.17018336686723212,0.6169756228725115,12,12,0.00651677522785681,0.9934832247721431,1.0,1.0,1.0,0.004735458514322499,0.018604727832994716,1.6208095534408804,0.9317856624848921
Qwen/Qwen3-1.7B,12,0.42857142857142855,0.25,0.041666666666666664,-0.0486644592846539,0.10514466340343158,0,0,0.0002684532911984838,0.9997315467088015,0.0,0.0,0.16666666666666666,0.0001673383477229784,0.0008958527826097296,0.3962793864677771,0.030883747035125024
Qwen/Qwen3-1.7B,12,0.42857142857142855,0.5,0.513888888888889,0.00021781006016927118,0.21028932680686316,11,0,0.0011900130924268615,0.9988099869075732,0.5,0.3333333333333333,0.6666666666666666,0.0007237950861292974,0.003843753999563382,2.443722999425605,0.4916699431157758
Qwen/Qwen3-1.7B,12,0.42857142857142855,0.75,0.9583333333333335,0.04908050517720972,0.3154339889685313,12,9,0.0028947599342349826,0.997105240065765,1.0,0.8333333333333334,1.0,0.0017433712516147781,0.008989763849985177,3.038142167512323,0.9238951745022455
Qwen/Qwen3-1.7B,12,0.42857142857142855,1.0,1.0,0.09627189777896693,0.4205786536137263,12,12,0.005399069787440702,0.9946009302125592,1.0,1.0,1.0,0.00324529418171704,0.01611323496119277,2.377676488407015,0.9525430648511867
Qwen/Qwen3-1.7B,12,0.42857142857142855,1.25,1.0,0.1404100228415078,0.5257233157753944,12,12,0.008565660684930929,0.9914343393150692,1.0,1.0,1.0,0.0051528187701709305,0.024676933480673235,1.9021412042638401,0.9388620077375296
Qwen/Qwen3-1.7B,12,0.42857142857142855,1.5,1.0,0.1805527349179199,0.6308679779370626,12,12,0.012127515369505284,0.9878724846304947,1.0,1.0,1.0,0.00744293097254195,0.03397070266719626,1.5851176777411047,0.9247856868367884
Qwen/Qwen3-1.7B,16,0.5714285714285714,0.25,0.027777777777777776,-0.05901388611289505,0.11505479489763577,0,0,0.0002836424109181057,0.9997163575890818,0.0,0.0,0.16666666666666666,0.00021935709999404418,0.0006702913147303979,0.2414308363956782,0.015988655877096095
Qwen/Qwen3-1.7B,16,0.5714285714285714,0.5,0.4861111111111111,-1.6061572036772203e-05,0.23010958979527155,8,0,0.0012264508548401516,0.9987735491451599,0.5,0.3333333333333333,0.6666666666666666,0.0009195827714695848,0.0028643820008027454,2.112519910267125,0.4618737012767438
Qwen/Qwen3-1.7B,16,0.5714285714285714,0.75,1.0,0.058973165645985044,0.34516438841819763,12,12,0.0028496942764711375,0.9971503057235288,1.0,1.0,1.0,0.0020753315414441253,0.006512560265031331,2.897170173351454,0.9626338668817092
