model,layer,normalized_depth,separation_score,silhouette_score,paraphrase_retention_score,mean_within_group_similarity,mean_between_group_similarity
Qwen/Qwen3-1.7B,4,0.14285714285714285,0.016843348343910547,0.007578412536531687,-0.06315685500491697,0.860710455020046,0.8438671066761354
Qwen/Qwen3-1.7B,8,0.2857142857142857,0.05387350359202536,0.14028741419315338,0.002541868202483588,0.8251107865372311,0.7712372829452058
Qwen/Qwen3-1.7B,12,0.42857142857142855,0.05598791176658957,0.15883757174015045,0.007231758420005674,0.8089175341388661,0.7529296223722766
Qwen/Qwen3-1.7B,16,0.5714285714285714,0.07301505094151728,0.18216519057750702,0.03642390536000273,0.8034292450574508,0.7304141941159336
Qwen/Qwen3-1.7B,20,0.7142857142857143,0.05540238317231494,0.1183718740940094,-0.013978103114103635,0.8059710633251783,0.7505686801528634
Qwen/Qwen3-1.7B,24,0.8571428571428571,0.03956320623947707,0.13214415311813354,0.007471466941505689,0.8863214282974673,0.8467582220579902
Qwen/Qwen3-1.7B,28,1.0,0.021970640786556528,0.09116477519273758,-0.009904744506194052,0.9133375253456643,0.8913668845591077
google/gemma-3-1b-it,4,0.15384615384615385,-0.0010014328600000955,-0.14505469799041748,-0.01854142132490011,0.9810774808319722,0.9820789136919723
google/gemma-3-1b-it,8,0.3076923076923077,0.00202293692877642,0.06651968508958817,-0.00031513857739484674,0.9932669386066181,0.9912440016778417
google/gemma-3-1b-it,12,0.46153846153846156,0.001451464681248793,0.10471328347921371,0.0005413747743907571,0.9954737050712462,0.9940222403899974
google/gemma-3-1b-it,16,0.6153846153846154,0.006060293592084265,0.13971808552742004,0.004137038674075,0.9798607056191985,0.9738004120271142
google/gemma-3-1b-it,20,0.7692307692307693,0.008484908723899953,0.11925721913576126,0.0058060465916555115,0.967440396703346,0.9589554879794461
google/gemma-3-1b-it,23,0.8846153846153846,0.009052442443631459,0.10951948165893555,0.00757245112298055,0.9665022731050354,0.957449830661404
google/gemma-3-1b-it,26,1.0,0.09329384068628999,0.1117924153804779,0.07140084249691714,0.6598580722258366,0.5665642315395466
