model,layer,split,source_group,target_group,beta,intervention_type,rsm_pearson,invariant_violation_score,rsm_frobenius_distance,ivs_advantage_vs_random
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,logic,1.0,opposite,0.999808519336467,0.00019148066353302795,0.16832099058011946,0.0014752575619423336
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,analogy,0.5,task,0.999935239224003,6.476077599704144e-05,0.005201973474026845,-4.651002622291234e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,analogy,0.5,matched_random,0.9999817492502259,1.8250749774129105e-05,0.04091344928580381,-4.651002622291234e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,analogy,0.5,opposite,0.9999716736812094,2.8326318790572458e-05,0.0817679918438234,-4.651002622291234e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,analogy,0.75,task,0.9996881948106795,0.00031180518932050205,0.03127543511773297,-0.0003083891901597413
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,analogy,0.75,matched_random,0.9999965840008392,3.415999160760741e-06,0.0845629315006498,-0.0003083891901597413
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,analogy,0.75,opposite,0.9998992640254988,0.0001007359745012204,0.13230992292415109,-0.0003083891901597413
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,analogy,1.0,task,0.9991681736985158,0.0008318263014841509,0.07724513640991959,-0.0008262013836849436
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,analogy,1.0,matched_random,0.9999943750822008,5.624917799207374e-06,0.1327510564145937,-0.0008262013836849436
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,analogy,1.0,opposite,0.9997777154453322,0.0002222845546677732,0.1803371105838205,-0.0008262013836849436
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,definition,0.5,task,0.9998434169586552,0.00015658304134480439,0.003346693172193897,-0.00012977231063349137
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,definition,0.5,matched_random,0.9999731892692887,2.6810730711313013e-05,0.017152352516013616,-0.00012977231063349137
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,definition,0.5,opposite,0.9999626501111438,3.7349888856175184e-05,0.04234165027628729,-0.00012977231063349137
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,definition,0.75,task,0.9995896380466419,0.0004103619533580849,0.011158939664955786,-0.00032723205366769204
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,definition,0.75,matched_random,0.9999168701003096,8.312989969039286e-05,0.03930896734718593,-0.00032723205366769204
