layer,within_similarity,between_similarity,separation_score,silhouette_score,same_group_cross_variant_similarity,same_variant_cross_group_similarity,paraphrase_retention_score,pca_pc1_variance,pca_pc2_variance,pca_2d_total_variance
0,0.7116779284547865,0.7503093254779585,-0.038631397023171976,-0.2708333134651184,0.5759969242758394,0.9246217266800777,-0.3486248024042383,0.9999998,1.625396e-15,0.9999998211860657
4,0.860710455020046,0.8438671066761354,0.016843348343910547,0.007578412536531687,0.8170124155131603,0.8801692705180773,-0.06315685500491697,0.38998497,0.14631563,0.5363005995750427
8,0.8251107865372311,0.7712372829452058,0.05387350359202536,0.14028741419315338,0.7928546081160305,0.7903127399135469,0.002541868202483588,0.18148383,0.15594168,0.3374255299568176
12,0.8089175341388661,0.7529296223722766,0.05598791176658957,0.15883757174015045,0.7766334991596474,0.7694017407396417,0.007231758420005674,0.16305563,0.15550523,0.3185608386993408
16,0.8034292450574508,0.7304141941159336,0.07301505094151728,0.18216519057750702,0.7762455825263112,0.7398216771663084,0.03642390536000273,0.18425602,0.114304125,0.29856014251708984
20,0.8059710633251783,0.7505686801528634,0.05540238317231494,0.1183718740940094,0.7607336830091346,0.7747117861232382,-0.013978103114103635,0.24133065,0.16040383,0.40173447132110596
24,0.8863214282974673,0.8467582220579902,0.03956320623947707,0.13214415311813354,0.8622772498656123,0.8548057829241066,0.007471466941505689,0.20846164,0.17011702,0.37857866287231445
28,0.9133375253456643,0.8913668845591077,0.021970640786556528,0.09116477519273758,0.8931969146497638,0.9031016591559579,-0.009904744506194052,0.23216313,0.20559242,0.4377555549144745
