source_group,target_group,beta,mean_similarity_to_source,mean_similarity_to_target,target_minus_source_similarity,target_assignment_rate,mean_perturbation_norm,mean_relative_perturbation_norm
logic,causality,0.0,0.9071692542659022,0.7856674235183272,-0.12150183074757503,0.0,0.0,0.0
logic,causality,0.25,0.8980774643316272,0.8406207431798274,-0.05745672115179978,0.0,26.25733974749031,0.12588855624198914
logic,causality,0.5,0.875161354568561,0.8817522274440212,0.006590872875460119,0.6666666666666666,52.51467949498062,0.25177711248397827
logic,causality,0.75,0.8406026259182582,0.9083889309111797,0.06778630499292149,1.0,78.77201924247092,0.3776656687259674
logic,causality,1.0,0.7977169042134705,0.9216859355002094,0.12396903128673886,1.0,105.02935898996124,0.5035542249679565
logic,causality,1.5,0.7006905445460125,0.9180057666801779,0.21731522213416532,1.0,157.54403848494184,0.7553313374519348
logic,causality,2.0,0.605267721391133,0.8911183226177687,0.28585060122663564,1.0,210.05871797992248,1.007108449935913
logic,analogy,0.0,0.9071692542659022,0.8059412338008256,-0.10122802046507662,0.0,0.0,0.0
logic,analogy,0.25,0.8988749895495619,0.8495536017327678,-0.04932138781679407,0.0,23.19371419148018,0.11120027303695679
logic,analogy,0.5,0.8794562019992176,0.8826583315814657,0.003202129582248081,0.5,46.38742838296036,0.22240054607391357
logic,analogy,0.75,0.8500128426710122,0.9044438621523524,0.054431019481340215,1.0,69.58114257444053,0.33360084891319275
logic,analogy,1.0,0.8125855318003569,0.9153038402723861,0.10271830847202923,1.0,92.77485676592072,0.44480109214782715
logic,analogy,1.5,0.7237806488058074,0.9101635175438841,0.18638286873807675,1.0,139.16228514888107,0.6672016978263855
logic,analogy,2.0,0.6309682735144203,0.8820048627186914,0.2510365892042711,1.0,185.54971353184143,0.8896021842956543
logic,definition,0.0,0.9071692542659022,0.7924825990827778,-0.11468665518312438,0.0,0.0,0.0
logic,definition,0.25,0.8976924973260673,0.8416872814881694,-0.05600521583789786,0.0,24.68317679317215,0.11834137886762619
logic,definition,0.5,0.8755227160758553,0.8791402088710812,0.0036174927952259406,0.5,49.3663535863443,0.23668275773525238
logic,definition,0.75,0.8420000187207336,0.9037023689953266,0.06170235027459303,1.0,74.04953037951645,0.355024129152298
logic,definition,1.0,0.799680775786511,0.9158068769495813,0.11612610116307032,1.0,98.7327071726886,0.47336551547050476
logic,definition,1.5,0.7009591373933421,0.9099473003122256,0.20898816291888345,1.0,148.0990607590329,0.710048258304596
logic,definition,2.0,0.6005106728054214,0.8794457174145314,0.27893504460911,1.0,197.4654143453772,0.9467310309410095
causality,logic,0.0,0.9151241891530968,0.7921688785934847,-0.12295531055961206,0.0,0.0,0.0
causality,logic,0.25,0.9013396391311926,0.8341484872495598,-0.06719115188163283,0.0,26.25733974749031,0.11487782001495361
causality,logic,0.5,0.8745288917292275,0.8679736984141183,-0.006555193315109231,0.3333333333333333,52.51467949498062,0.22975564002990723
causality,logic,0.75,0.8336279047522774,0.8904803335571887,0.05685242880491126,1.0,78.77201924247092,0.34463346004486084
causality,logic,1.0,0.7793067508060766,0.8995810341433496,0.12027428333727297,1.0,105.02935898996124,0.45951128005981445
causality,logic,1.5,0.6417229629835924,0.8778696775107971,0.2361467145272047,1.0,157.54403848494184,0.6892669200897217
causality,logic,2.0,0.49183626816575293,0.8179686642461214,0.3261323960803684,1.0,210.05871797992248,0.9190225601196289
causality,analogy,0.0,0.9151241891530968,0.7632795391477708,-0.151844650005326,0.0,0.0,0.0
causality,analogy,0.25,0.9000537885401628,0.8196411703682215,-0.08041261817194134,0.0,29.557817081888253,0.12931765615940094
causality,analogy,0.5,0.8684896432348214,0.8648774972275399,-0.003612146007281436,0.5,59.115634163776505,0.2586353123188019
causality,analogy,0.75,0.8203075969696987,0.8950878853671159,0.07478028839741724,1.0,88.67345124566474,0.3879530131816864
causality,analogy,1.0,0.7580458664961608,0.908557540935675,0.1505116744395142,1.0,118.23126832755301,0.5172706246376038
causality,analogy,1.5,0.6102574908091782,0.8910233123107877,0.28076582150160945,1.0,177.34690249132947,0.7759060263633728
causality,analogy,2.0,0.46248250443123,0.8372666417603106,0.3747841373290806,1.0,236.46253665510602,1.0345412492752075
causality,definition,0.0,0.9151241891530968,0.8477794780013689,-0.06734471115172791,0.0,0.0,0.0
causality,definition,0.25,0.9075608931204157,0.8725324408733836,-0.035028452247032105,0.0,19.77554333937147,0.08651947975158691
causality,definition,0.5,0.8928475127455474,0.8914770507043731,-0.001370462041174303,0.6666666666666666,39.55108667874294,0.17303895950317383
causality,definition,0.75,0.8707875958192169,0.9036871772192505,0.03289958140003357,1.0,59.326630018114415,0.25955843925476074
causality,definition,1.0,0.8416973869098703,0.9086668654773952,0.06696947856752489,1.0,79.10217335748588,0.34607791900634766
causality,definition,1.5,0.7660813973738643,0.8974828077457402,0.13140141037187592,1.0,118.65326003622883,0.5191168785095215
causality,definition,2.0,0.6761807845949378,0.863269389741355,0.18708860514641723,1.0,158.20434671497176,0.6921558380126953
analogy,logic,0.0,0.929368805176412,0.8254660874601396,-0.10390271771627235,0.0,0.0,0.0
analogy,logic,0.25,0.9191752505578273,0.8641585895095462,-0.05501666104828118,0.16666666666666666,23.19371419148018,0.10777639597654343
analogy,logic,0.5,0.8976883529498886,0.8945889756995425,-0.003099377250346036,0.3333333333333333,46.38742838296036,0.21555279195308685
analogy,logic,0.75,0.864446975449291,0.914602300720304,0.05015532527101296,1.0,69.58114257444053,0.32332921028137207
analogy,logic,1.0,0.8202478040121396,0.9230246473338181,0.10277684332167847,1.0,92.77485676592072,0.4311055839061737
analogy,logic,1.5,0.7077525940862502,0.9066320361865264,0.1988794421002762,1.0,139.16228514888107,0.6466584205627441
analogy,logic,2.0,0.5823281607508741,0.8579058322362534,0.27557767148537926,1.0,185.54971353184143,0.8622111678123474
analogy,causality,0.0,0.929368805176412,0.7754981094250177,-0.15387069575139423,0.0,0.0,0.0
analogy,causality,0.25,0.9167064474012623,0.8400038114357827,-0.07670263596547955,0.0,29.557817081888253,0.13734905421733856
analogy,causality,0.5,0.8862744998198918,0.889588405032787,0.0033139052128952073,0.3333333333333333,59.115634163776505,0.2746981084346771
analogy,causality,0.75,0.8397898492721604,0.9214941549913115,0.0817043057191511,1.0,88.67345124566474,0.4120471775531769
analogy,causality,1.0,0.7813864933236636,0.9358704315556344,0.15448393823197082,1.0,118.23126832755301,0.5493962168693542
analogy,causality,1.5,0.649244225444619,0.9235569867551031,0.2743127613104841,1.0,177.34690249132947,0.8240943551063538
analogy,causality,2.0,0.5226185256784859,0.8812568890608872,0.3586383633824013,1.0,236.46253665510602,1.0987924337387085
analogy,definition,0.0,0.929368805176412,0.7934439919413007,-0.1359248132351113,0.0,0.0,0.0
analogy,definition,0.25,0.9176113815464197,0.847996133683241,-0.06961524786317874,0.0,27.127302822800885,0.12605497241020203
analogy,definition,0.5,0.890596096712413,0.8905293192391465,-6.677747326655492e-05,0.3333333333333333,54.25460564560177,0.25210994482040405
analogy,definition,0.75,0.848909951948246,0.9183500734950657,0.06944012154681967,1.0,81.38190846840264,0.3781648874282837
analogy,definition,1.0,0.7951945990642364,0.930824483738907,0.13562988467467063,1.0,108.50921129120354,0.5042198896408081
analogy,definition,1.5,0.6678991431479996,0.9168193323108392,0.24892018916283964,1.0,162.76381693680528,0.7563297748565674
analogy,definition,2.0,0.5391012800566526,0.8712146251238037,0.33211334506715107,1.0,217.01842258240708,1.0084397792816162
definition,logic,0.0,0.9058222153358145,0.7912403025537071,-0.11458191278210739,0.0,0.0,0.0
definition,logic,0.25,0.8931504541829578,0.8323958381736934,-0.06075461600926435,0.0,24.68317679317215,0.1114862859249115
definition,logic,0.5,0.8684577857216644,0.8650321379657676,-0.0034256477558968212,0.5,49.3663535863443,0.222972571849823
definition,logic,0.75,0.8313890310535769,0.8867531813062617,0.05536415025268482,1.0,74.04953037951645,0.3344588279724121
definition,logic,1.0,0.7830508739685218,0.8962983506877141,0.11324747671919233,1.0,98.7327071726886,0.445945143699646
definition,logic,1.5,0.6630665723368416,0.8809136632728024,0.21784709093596077,1.0,148.0990607590329,0.6689176559448242
definition,logic,2.0,0.5332502364145539,0.8330365481040906,0.2997863116895366,1.0,197.4654143453772,0.891890287399292
definition,causality,0.0,0.9058222153358145,0.8392888639420503,-0.06653335139376426,0.0,0.0,0.0
definition,causality,0.25,0.9007670433097292,0.8681308323423743,-0.03263621096735492,0.16666666666666666,19.77554333937147,0.08932002633810043
definition,causality,0.5,0.8885961550603246,0.8900436986838803,0.0014475436235557027,0.5,39.55108667874294,0.17864005267620087
definition,causality,0.75,0.8697990803839138,0.9047229804857982,0.0349239001018844,1.0,59.326630018114415,0.2679600417613983
definition,causality,1.0,0.8452795156090711,0.9123587241422692,0.06707920853319804,1.0,79.10217335748588,0.35728010535240173
definition,causality,1.5,0.7838777831939572,0.9092211389973953,0.12534335580343814,1.0,118.65326003622883,0.5359200835227966
definition,causality,2.0,0.7142115785906441,0.8880694690237476,0.1738578904331035,1.0,158.20434671497176,0.7145602107048035
definition,analogy,0.0,0.9058222153358145,0.7731535900354959,-0.13266862530031864,0.0,0.0,0.0
definition,analogy,0.25,0.8929666233602477,0.8249409089661638,-0.06802571439408389,0.0,27.127302822800885,0.1225256398320198
definition,analogy,0.5,0.8658734234225663,0.8656383443118144,-0.00023507911075193455,0.6666666666666666,54.25460564560177,0.2450512796640396
definition,analogy,0.75,0.825105452873555,0.8927436643826058,0.0676382115090508,1.0,81.38190846840264,0.3675769567489624
definition,analogy,1.0,0.7730824701919702,0.9055903259757034,0.13250785578373325,1.0,108.50921129120354,0.4901025593280792
definition,analogy,1.5,0.6501320770783593,0.8945570868223548,0.2444250097439955,1.0,162.76381693680528,0.7351539134979248
definition,analogy,2.0,0.525158858798379,0.8528081851043914,0.3276493263060124,1.0,217.01842258240708,0.9802051186561584
