group,strict_accuracy,audited_upper_bound_accuracy,layer16_within_similarity,layer16_separation_score,layer16_silhouette_score,layer16_paraphrase_retention_score,mean_incoming_delta_norm,mean_outgoing_delta_norm,mean_incoming_final_target_assignment_rate,mean_outgoing_final_target_assignment_rate,mean_incoming_target_minus_source_similarity,mean_outgoing_target_minus_source_similarity,mean_outgoing_final_ivs,mean_incoming_final_ivs,mean_outgoing_final_rsm_pearson,mean_incoming_final_rsm_pearson,mean_outgoing_final_relative_perturbation_norm,mean_incoming_final_relative_perturbation_norm
logic,0.8333333333333334,0.8333333333333334,0.7876293537379965,0.07301505094151728,0.18216519057750702,0.03642390536000273,98.84564097619018,98.84564097619018,1.0,1.0,0.30049879308509475,0.2719407450133389,0.0050442674857946,0.019705780335012763,0.9949557325142053,0.9802942196649872,0.947813888390859,0.8910413384437561
causality,0.6666666666666666,0.6666666666666666,0.8049562249512667,0.07301505094151728,0.18216519057750702,0.03642390536000273,100.78760022500005,100.78760022500005,1.0,1.0,0.27278228501404683,0.2960017128519554,0.011812740036815872,0.012551337310963695,0.9881872599631841,0.9874486626890363,0.8819065491358439,0.940153698126475
analogy,0.3333333333333333,0.3333333333333333,0.836482612492303,0.07301505094151728,0.18216519057750702,0.03642390536000273,106.50511212822575,106.50511212822575,1.0,1.0,0.3178233509464547,0.32210979331164385,0.008634998310866079,0.01386886814556528,0.9913650016891339,0.9861311318544347,0.9898144602775574,0.9681161840756735
definition,0.6666666666666666,0.6666666666666666,0.7846487890482372,0.07301505094151728,0.18216519057750702,0.03642390536000273,95.448030607126,95.448030607126,1.0,1.0,0.26604566494089277,0.26709784280955085,0.026084220864752,0.005450240906686814,0.9739157791352481,0.9945497590933132,0.8622185389200846,0.8824422160784403
