model,layer,normalized_depth,separation_score,silhouette_score,paraphrase_retention_score,assignment_beta_075,ivs_beta_075,relative_perturbation_beta_075,is_encoding_layer,is_control_layer_beta_075,is_safe_control_layer
Qwen/Qwen3-1.7B,8,0.2857142857142857,0.05387350359202536,0.14028741419315338,0.002541868202483588,0.9861111111111112,0.0018809969720541924,0.30848781143625575,False,False,False
Qwen/Qwen3-1.7B,16,0.5714285714285714,0.07301505094151728,0.18216519057750702,0.03642390536000273,1.0,0.0028496942764711375,0.34516438841819763,True,True,False
Qwen/Qwen3-1.7B,28,1.0,0.021970640786556528,0.09116477519273758,-0.009904744506194052,0.8750000000000001,0.0009076374836303932,0.19821858406066895,False,False,True
google/gemma-3-1b-it,8,0.3076923076923077,0.00202293692877642,0.06651968508958817,-0.00031513857739484674,0.8055555555555555,0.0026666541215314607,0.07090235656748216,False,False,False
google/gemma-3-1b-it,16,0.6153846153846154,0.006060293592084265,0.13971808552742004,0.004137038674075,1.0,0.00020178971579528268,0.10413556918501854,False,True,True
google/gemma-3-1b-it,26,1.0,0.09329384068628999,0.1117924153804779,0.07140084249691714,0.875,0.017970202555123105,0.41489648322264355,True,False,False
