source_group,target_group,beta,delta_norm,mean_source_similarity,mean_target_similarity,mean_target_minus_source_similarity,target_assignment_rate,relative_perturbation_norm
definition,causality,0.5,52.302126872288426,0.7666404622454027,0.7727914006697322,0.006150938424329455,0.5,0.24572646617889404
definition,causality,0.75,52.302126872288426,0.7269940642981801,0.803779007783152,0.07678494348497189,1.0,0.36858972907066345
definition,causality,1.0,52.302126872288426,0.6791859561740842,0.8222183038087518,0.14303234763466766,1.0,0.4914529323577881
definition,causality,1.5,52.302126872288426,0.5722130150678215,0.8277025127016883,0.25548949763386675,1.0,0.7371794581413269
definition,causality,2.0,52.302126872288426,0.4674370294158437,0.8064916138377701,0.33905458442192643,1.0,0.9829058647155762
definition,analogy,-1.0,56.62173336114752,0.8101392376740799,0.4008085094984457,-0.4093307281756342,0.0,0.5320417881011963
definition,analogy,-0.5,56.62173336114752,0.8283725560343784,0.5191686739401278,-0.30920388209425065,0.0,0.26602089405059814
definition,analogy,0.0,56.62173336114752,0.8115789951745859,0.6433710739148376,-0.16820792125974826,0.0,0.0
definition,analogy,0.25,56.62173336114752,0.7827690936616953,0.6985670323270218,-0.08420206133467356,0.16666666666666666,0.13301044702529907
definition,analogy,0.5,56.62173336114752,0.7387633812543911,0.7433878324912652,0.00462445123687405,0.6666666666666666,0.26602089405059814
definition,analogy,0.75,56.62173336114752,0.6811583787001695,0.7748352691232004,0.09367689042303096,0.8333333333333334,0.3990313708782196
definition,analogy,1.0,56.62173336114752,0.6135453501165549,0.7920108419256784,0.17846549180912352,0.8333333333333334,0.5320417881011963
definition,analogy,1.5,56.62173336114752,0.4661630271474994,0.7893426366226772,0.3231796094751778,1.0,0.7980627417564392
definition,analogy,2.0,56.62173336114752,0.32650832045497785,0.7551895007730777,0.4286811803180998,1.0,1.0640835762023926
