layer,normalized_depth,within_similarity,between_similarity,separation_score,silhouette_score,same_group_cross_variant_similarity,same_variant_cross_group_similarity,paraphrase_retention_score,pca_pc1_variance,pca_pc2_variance,pca_2d_total_variance
0,0.0,0.6783484372500567,0.7214455408023043,-0.043097103552247606,-0.2708330750465393,0.5269830003836251,0.9159080812209835,-0.38892508083735844,0.9999998211860657,2.106518635536952e-15,0.9999998211860657
4,0.15384615384615385,0.9810774808319722,0.9820789136919723,-0.0010014328600000955,-0.14505469799041748,0.9729549036196062,0.9914963249445063,-0.01854142132490011,0.7658113241195679,0.10885319113731384,0.8746645450592041
8,0.3076923076923077,0.9932669386066181,0.9912440016778417,0.00202293692877642,0.06651968508958817,0.9917167268228808,0.9920318654002757,-0.00031513857739484674,0.7270395755767822,0.08733290433883667,0.8143724799156189
12,0.46153846153846156,0.9954737050712462,0.9940222403899974,0.001451464681248793,0.10471328347921371,0.9947235859489313,0.9941822111745405,0.0005413747743907571,0.4204808175563812,0.11187326163053513,0.5323540568351746
16,0.6153846153846154,0.9798607056191985,0.9738004120271142,0.006060293592084265,0.13971808552742004,0.9784356733740651,0.9742986346999901,0.004137038674075,0.16420702636241913,0.12023711204528809,0.2844441533088684
20,0.7692307692307693,0.967440396703346,0.9589554879794461,0.008484908723899953,0.11925721913576126,0.9658117189827435,0.960005672391088,0.0058060465916555115,0.20727507770061493,0.12496627867221832,0.33224135637283325
23,0.8846153846153846,0.9665022731050354,0.957449830661404,0.009052442443631459,0.10951948165893555,0.9656700326883616,0.958097581565381,0.00757245112298055,0.17764218151569366,0.1307542473077774,0.30839642882347107
26,1.0,0.6598580722258366,0.5665642315395466,0.09329384068628999,0.1117924153804779,0.6478242081076516,0.5764233656107345,0.07140084249691714,0.19788521528244019,0.1304856687784195,0.3283708691596985
